GROUP,NOTE TEXT
11,"PROVIDE BONDING TO LOOP CONNECTING ALL OWNER AND VENDOR INSTALLED ANTENNAE, IT/COMMUNICATIONS TOWERS, SIGNAL AERIALS, ETC."
12,PROVIDE #2/0 ALUMINUM CONNECTION TO EARTH GROUND.  SEE SHEET E5xxx.
13,"TWO (2) 3"" CONDUITS BELOW GRADE TO IT ROOM 128 TO NORTH WALL.  SEE SHEET E1301A FOR TERMINATION POINT."
14,"ALL VFD'S ARE PROVIDED BY DIVISON 23, INSTALLED BY DIVISION 23, AND CONNECTED BY DIVISION 26 ELECTRICIAN."
15,PROVIDE JUNCTION BOX WITH 120V MOTOR RATED TOGGLE SWITCH AT EACH VRF CASSETTE FOR POWERING OF INDIVIDUAL 120V CONDENSATE PUMPS.
16,SEE AHU VFD NOTES ON SHEET E1102B.
17,SEE DUCTLESS SPLIT-SYSTEM WIRING SCHEMATIC ON SHEET E5103 (DETAIL C4).
18,PROVIDE EWC ON GFCI BREAKER.
19,THE CONTRACTOR'S BID PRICE INCLUDES COORDINATING FINAL COUNTER OF RISER ROOM FLOWS AND TAMPER DEVICES WITH DIV.23 SPRINKLER CONTRACTOR PRIOR TO PERFORMING WORK. REQUESTED CHANGE ORDERS FOR ADDITIONAL RISER ROOM DEVICES WILL NOT BE ACCEPTED.
20,SAW CUT EXISTING SLAB TO INSTALL NEW FLOOR-BOX.  ROUTE CONDUITS IN SLAB TO WALL AS SHOWN.  EC IS RESPONSIBLE TO INVESTIGATE AND AVOID ANY EXISTING IN-SLAB UTILITIES. COORDINATE AND CONFIRM EXACT LOCATION OF FLOOR-BOX WITH OWNER AND TABLE PRIOR TO ROUGH-IN.
21,OFFICE CUBICLE FURNISHINGS SHALL COMPLY WITH NEC ARCTICLE 605.
22,"ROUTE ALL CONDUITS UNDERGROUND FOR DOCK LEVELERS, LOADING DOCK DOORS, VEHICLE RESTRAINTS AND SIGNAL LIGHTS."
23,PROVIDE AND INSTALL EXTERNAL GROUND BAR.  REFER TO DETAIL 1/E5102.
24,HEAT TRACE FOR CHILLER PIPING.  COORDINATE WITH PLUMPING DRAWINGS PRIOR TO INSTALLATION.  REFER TO DETAIL 1/M5104 FOR MORE INFORMATION. 
25,SEE VFD SPECIFICATION ON SHEET E6601.
26,SEE E5104 DRAWING FOR DETAILS.  PROTECT ALL HVAC AND ROOF TOP EQUIPMENT.
27,ROOF MOUNTED PHOTO CELL TO CONTROL ALL EXTERIOR LIGHTS.
28,TWO (2) TRANSFORMERS.  ONE (1) 225KVA PAD MOUNTED TRANSFORMER AND ONE (1) 30KVA TRANSFORMER RACK MOUNTED ON WALL ABOVE THE 225KVA TRANSFORMER.
29,"PROVIDE 480V, 230V, AND LOW VOLTAGE (TELECOM) BOX AT EACH SOUTH WALL MOLDING MACHINE.  ROUTE CONDUITS UP INSIDE WALL AND OVER TO POWER CABLE TRAY, SEE DETAIL B2/E5103."
30,"8"" HIGH, 1"" FIRE RATED PLYWOOD, PAINTED WITH 2 COATS OF WHITE FIRE RETARDANT PAINT ON EVERY SIDE/EDGE, ON ALL WALLS."
31,"PROVIDE AND INSTALL 1/4""x18""x4"" COPPER TELECOM GROUND BAR MOUNTED AT 18"" AFF. REFER TO DETAIL B3/E5104."
32,"PROVIDE AND INSTALL CANOPY FIXTURES WIRED TO SEPARATE PHOTOCELL.  PHOTOCELL ON, PHOTOCELL OFF.  MAY SHARE PHOTOCELL WITH BREAKROOM ENTRANCE CANOPY LIGHTS."
33,WALL MOUNTED DISPLAY. PROVIDE WIREMOLD-LEGRAND RECESSED POWER/DATA A/V BOX #EFSB4.  COORDINATE FINAL DISPLAY LOCATION WITH OWNER PRIOR TO ROUGH-IN.
34,"PROVIDE ONE (1) 277V CIRCUIT FOR NON-HEAT, NON-FAN POWERED VAV BOXES.  CONNECT TO CIRCUIT MHC1-2."
35,"SECURITY CAMERA SHOWN FOR REFERENCE.  CAMERAS TO BE DESIGNED, PROVIDED, AND INSTALLED BY SECURITY VENDOR."
36,EXISTING HEAT TRACE CIRCUIT TO REMAIN (PANEL HL).  CONTRACTORS BID INCLUDES CHANGING BREAKER IN PANEL HL TO A TYPE GFPE WHERE HEAT TAPE CIRCUIT IS NOT CURRENTLY EQUIPPED WITH SAME.
37,"DUPLEX, WEATHERPROOF, GFCI OUTLET PROVIDED THROUGH SINGLE-POINT CONNECTION."
38,"PROVIDE 208V, 1-PHASE, 20AMP CONNECTION TO EACH CU MINI SPLIT.  CONNECT TO CIRCUIT PLC1-70.  SEE MINI SPLIT DETAIL, THIS SHEET.  PROVIDE ROOF TOP CONVENIENCE OUTLET CONNECTED TO PLC1-37."
39,REFER TO DETAIL #2 ON SHEET E1102B.
